,KIC,Kp,q_first,q_last,Teff,E_Teff,e_Teff,logg,E_logg,e_logg,mass,E_mass,e_mass,Prot,E_prot,Sph,E_Sph,Flag_Type1CPCB,Flag_MSSG,Flag_Binary,Flag_KOI,Flag_Source
12042,5455407,12.214,1,17,5538.3,118.3,111.6,3.486,0.022,0.026,1.75,0.053,0.059,26.82,2.84,5676.1,171.3,-999,2,0,-999,0
12051,5456269,13.287,0,17,5989.7,107.4,109.1,4.038,0.036,0.052,1.223,0.086,0.107,11.33,1.0,121.6,9.1,-999,1,0,-999,0
12070,5457337,14.939,1,17,5812.2,106.6,102.8,4.468,0.029,0.04,0.976,0.048,0.063,4.43,0.36,1077.6,94.3,-999,1,0,-999,0
12072,5457393,12.814,0,17,6233.2,131.1,115.3,4.148,0.031,0.04,1.217,0.057,0.076,7.25,0.57,53.2,6.6,-999,1,0,-999,0
12076,5457799,12.115,0,17,5790.8,94.5,94.3,4.452,0.027,0.036,0.998,0.048,0.06,6.1,0.44,3403.2,186.0,-999,1,0,-999,0
12090,5459134,15.376,1,17,5368.0,104.4,101.3,4.532,0.029,0.042,0.862,0.045,0.058,19.5,2.0,2224.4,80.8,-999,1,0,-999,0
12103,5459612,14.44,1,17,5166.8,101.3,94.5,4.515,0.051,0.06,0.824,0.051,0.049,17.84,1.35,2852.4,98.6,-999,1,-999,-999,0
12109,5460237,15.606,1,17,5604.2,113.5,106.6,4.525,0.027,0.036,0.9,0.044,0.054,22.24,2.16,1276.5,54.1,-999,1,0,-999,0
12110,5460315,15.619,1,17,4397.2,86.1,76.8,4.585,0.024,0.022,0.713,0.028,0.026,26.49,2.29,240.9,18.7,-999,1,-999,-999,0
12115,5460829,13.062,0,17,4584.4,73.1,69.0,4.584,0.023,0.022,0.742,0.032,0.03,16.53,1.45,3539.9,121.3,-999,1,0,-999,0
12124,5461440,14.56,1,17,5747.3,117.1,112.5,4.503,0.038,0.045,0.834,0.05,0.053,33.01,2.69,770.0,25.4,-999,1,0,0,0
12125,5461454,15.173,1,17,4786.8,87.2,79.0,4.571,0.027,0.027,0.757,0.037,0.036,32.16,5.99,1528.3,50.2,-999,1,0,-999,0
12130,5461759,15.163,1,17,4039.6,77.4,78.0,4.631,0.016,0.015,0.607,0.013,0.014,36.94,4.27,717.4,24.6,-999,1,0,-999,0
12133,5462111,15.654,4,17,5287.6,97.7,85.7,4.351,0.05,0.048,0.86,0.047,0.034,6.18,0.42,568.9,50.2,-999,1,1,-999,0
12148,5462834,14.09,1,17,6408.0,116.2,114.8,4.338,0.025,0.035,1.211,0.047,0.064,5.51,0.53,225.5,21.0,-999,1,0,-999,0
12154,5466109,15.225,1,17,6076.8,123.0,119.3,4.341,0.045,0.052,1.099,0.068,0.079,8.09,0.68,620.4,41.2,-999,1,0,1,0
12155,5466243,15.64,2,17,4586.2,85.9,80.6,4.601,0.022,0.024,0.715,0.031,0.03,10.11,0.73,2769.3,127.3,-999,1,0,-999,0
12156,5466397,12.938,0,17,4957.4,65.7,57.2,4.437,0.018,0.013,0.826,0.021,0.014,9.11,0.67,3650.9,158.3,-999,1,1,-999,0
12158,5466687,14.575,1,17,5497.0,102.0,98.6,4.571,0.018,0.029,0.843,0.032,0.043,4.49,0.35,3857.0,246.5,-999,1,0,-999,0
12164,5467160,13.653,1,17,4596.9,74.5,71.3,4.582,0.024,0.021,0.73,0.033,0.028,45.16,5.93,727.7,16.1,-999,1,0,-999,0
12168,5467380,15.121,4,17,6353.0,174.4,210.3,3.879,0.041,0.047,1.48,0.093,0.166,15.67,1.92,335.7,19.8,-999,1,0,-999,0
12170,5467490,12.632,0,17,6521.5,127.9,127.7,4.321,0.022,0.029,1.259,0.042,0.057,3.47,0.43,186.8,17.9,-999,1,0,-999,0
12173,5468084,14.125,1,17,5207.9,98.2,91.8,4.57,0.022,0.034,0.811,0.034,0.051,23.87,2.06,1297.0,38.0,-999,1,0,-999,0
12176,5468219,13.8,1,17,5494.5,100.5,101.6,4.499,0.03,0.042,0.901,0.049,0.062,22.16,1.87,99.8,6.2,-999,1,0,-999,0
12182,5469562,13.585,0,17,6004.2,124.2,121.9,3.904,0.055,0.039,1.272,0.154,0.069,2.26,0.16,3724.8,327.0,1,1,0,-999,0
12183,5469681,13.699,1,17,5248.3,104.6,91.3,4.176,0.032,0.029,0.941,0.042,0.036,45.16,4.18,297.2,8.0,-999,1,0,-999,0
12197,5470739,15.401,1,17,5796.1,122.4,119.1,4.361,0.05,0.053,0.996,0.075,0.077,21.35,3.49,150.4,13.4,-999,1,0,0,0
12201,5470964,15.402,1,17,5867.8,121.7,114.2,4.435,0.035,0.044,1.005,0.057,0.071,20.33,2.16,453.0,22.3,-999,1,0,-999,0
12206,5471519,14.491,1,17,5220.7,86.4,77.0,4.365,0.028,0.022,0.852,0.037,0.026,7.14,0.52,4558.5,227.0,-999,1,1,-999,0
12210,5472014,15.312,1,17,5895.7,120.8,118.4,4.398,0.04,0.049,1.024,0.064,0.076,19.12,1.78,1606.0,56.1,-999,1,0,-999,0
12214,5472428,15.699,2,17,5311.5,106.2,101.4,4.576,0.022,0.034,0.813,0.038,0.049,13.33,1.11,4172.5,160.6,-999,1,0,-999,0
12220,5473087,15.936,1,17,4941.0,102.1,93.0,4.547,0.033,0.033,0.787,0.043,0.041,18.6,1.39,2748.8,96.2,-999,1,0,-999,0
12225,5473342,15.308,1,17,6278.1,154.4,142.9,4.177,0.104,0.103,1.247,0.092,0.101,7.37,0.66,323.5,30.0,-999,1,0,-999,0
12235,5474291,14.985,1,17,5394.8,110.0,106.4,4.491,0.038,0.046,0.879,0.055,0.062,24.88,2.14,2202.0,62.9,-999,1,0,-999,0
12236,5474298,13.871,1,17,4875.1,80.5,72.0,4.564,0.027,0.028,0.768,0.038,0.039,20.21,1.56,4013.6,118.0,-999,1,0,-999,0
12240,5474533,13.617,1,17,6433.9,126.6,138.9,4.269,0.034,0.032,1.256,0.058,0.059,1.02,0.07,6389.1,826.4,1,1,0,-999,0
12251,5475431,14.456,1,17,5638.7,85.3,89.9,4.649,0.016,0.016,0.759,0.019,0.027,0.9,0.06,6241.2,866.4,1,1,-999,1,0
12252,5475440,15.079,4,17,6140.0,193.0,257.0,4.455,0.056,0.224,1.094,0.151,0.151,4.74,0.35,1591.3,109.2,1,2,-999,-999,1
12257,5475621,13.668,1,17,6376.2,117.0,121.7,3.653,0.033,0.058,1.822,0.077,0.189,4.75,0.98,131.3,14.8,-999,1,0,-999,0
12260,5475788,14.765,1,17,5940.9,112.4,110.6,4.404,0.034,0.044,1.036,0.06,0.073,18.35,0.92,714.5,27.9,-999,1,0,-999,0
12265,5476288,15.892,2,17,4598.0,89.4,82.2,4.632,0.019,0.023,0.683,0.028,0.029,25.05,1.95,1765.4,57.3,-999,1,0,-999,0
12277,5477590,15.056,4,17,5791.1,107.9,103.8,4.507,0.023,0.033,0.94,0.04,0.053,16.44,1.75,975.2,39.1,-999,1,0,-999,0
12287,5478269,13.227,0,17,6956.1,146.2,147.6,4.243,0.026,0.03,1.406,0.061,0.065,2.27,0.21,208.3,25.9,-999,2,0,-999,0
12288,5478310,12.197,0,17,5415.5,90.2,87.7,4.538,0.023,0.038,0.871,0.038,0.057,18.96,1.86,1806.7,54.8,-999,1,0,-999,0
12299,5479668,15.745,4,17,5320.0,185.0,185.0,4.589,0.03,0.12,0.882,0.07,0.104,18.47,1.39,1164.7,47.4,-999,2,-999,-999,1
12303,5479819,14.701,1,17,6136.6,133.5,123.7,4.21,0.042,0.052,1.181,0.069,0.089,3.55,0.29,1206.0,96.3,1,1,0,-999,0
12308,5480080,15.101,1,17,5067.0,99.9,95.1,4.587,0.022,0.031,0.775,0.035,0.046,12.53,0.92,1901.3,78.5,-999,1,0,-999,0
12309,5480164,12.681,1,17,6316.0,150.0,188.0,4.281,0.136,0.187,1.047,0.185,0.108,1.62,0.11,1036.5,111.7,1,2,-999,-999,1
12318,5480537,13.739,1,17,6323.2,112.4,116.2,3.762,0.036,0.05,1.651,0.073,0.168,3.01,0.27,209.3,24.7,-999,1,0,-999,0
12320,5480555,15.561,2,17,5670.6,115.7,112.7,4.485,0.035,0.048,0.935,0.053,0.062,25.76,3.2,548.5,23.2,-999,1,0,-999,0
12340,5482420,14.752,1,17,5680.0,108.6,101.7,4.527,0.021,0.031,0.91,0.037,0.05,7.34,0.57,2519.9,129.3,-999,1,0,-999,0
12341,5482447,14.762,1,17,5808.2,119.0,117.6,4.424,0.036,0.046,0.992,0.062,0.074,20.63,2.0,805.0,28.9,-999,1,0,-999,0
12346,5483179,14.097,1,17,5352.0,106.2,98.7,4.585,0.018,0.03,0.811,0.028,0.044,17.96,1.33,2558.0,81.7,-999,1,0,-999,0
12349,5510898,14.048,1,16,5410.9,83.3,82.4,4.563,0.014,0.022,0.884,0.025,0.032,11.53,0.78,3575.6,148.3,-999,1,0,-999,0
12352,5511086,13.848,2,16,6272.6,122.8,117.6,4.487,0.017,0.022,1.0,0.03,0.037,13.51,1.28,636.6,30.0,-999,1,0,-999,0
12353,5511275,13.988,1,16,4431.5,72.5,69.6,4.624,0.018,0.02,0.679,0.024,0.024,24.37,1.75,3604.7,113.2,-999,1,0,-999,0
12355,5511414,13.616,1,16,4874.0,170.0,170.0,4.567,0.066,0.039,0.699,0.09,0.053,8.68,0.68,2763.9,128.6,-999,2,-999,-999,1
12358,5511600,14.94,1,16,5243.9,101.8,91.2,4.492,0.041,0.04,0.846,0.055,0.053,25.4,2.66,900.1,34.6,-999,1,0,-999,0
12360,5511702,15.174,1,16,4543.1,102.6,98.0,4.594,0.033,0.034,0.715,0.039,0.039,29.79,2.49,1137.8,39.4,-999,1,-999,-999,0
12366,5512406,14.242,1,16,5669.7,112.3,107.8,4.364,0.046,0.046,0.953,0.074,0.071,19.23,1.69,1381.8,46.0,-999,1,0,-999,0
12381,5513611,15.29,1,16,4455.6,83.2,80.1,4.589,0.023,0.018,0.713,0.029,0.024,33.99,3.16,1178.6,38.4,-999,1,0,-999,0
12382,5513612,11.669,0,16,5357.6,81.8,76.8,4.507,0.022,0.032,0.952,0.038,0.051,27.76,4.45,1204.0,36.8,-999,1,0,-999,0
12390,5513892,13.423,0,16,5605.5,94.0,93.4,4.483,0.029,0.039,0.929,0.05,0.064,16.08,1.24,1571.1,57.2,-999,1,0,-999,0
12391,5513893,13.009,0,16,6163.8,100.8,97.8,4.457,0.013,0.018,1.065,0.025,0.032,18.91,1.81,175.3,8.4,-999,1,0,-1,0
12392,5513897,13.974,1,16,5518.8,90.2,86.0,4.565,0.013,0.019,0.881,0.023,0.029,23.05,2.06,1012.5,33.8,-999,1,0,-1,0
12399,5514252,13.179,0,16,5199.6,72.7,65.6,4.351,0.022,0.017,0.856,0.03,0.021,8.56,0.68,2446.3,114.1,-999,1,0,-999,0
12400,5514871,12.792,0,16,5318.8,97.0,85.2,4.369,0.038,0.033,0.903,0.057,0.047,0.27,0.02,17331.0,4355.7,1,1,0,-999,0
12402,5515000,15.035,1,16,3746.3,74.5,74.0,4.747,0.011,0.011,0.477,0.012,0.012,20.35,1.56,1261.5,47.6,-999,1,0,-999,0
12404,5515099,14.624,1,16,6119.2,116.9,116.4,4.339,0.037,0.043,1.116,0.065,0.078,20.93,2.0,92.3,8.8,-999,1,0,-999,0
12406,5515133,15.468,1,16,4202.9,64.7,50.1,4.618,0.03,0.027,0.645,0.026,0.018,25.58,2.4,1045.4,40.7,-999,1,0,-999,0
12408,5515149,16.644,6,6,3943.6,78.1,79.1,4.676,0.016,0.016,0.561,0.016,0.016,26.12,2.21,447.5,70.5,-999,1,0,-999,0
12410,5515259,16.741,6,6,3303.5,79.0,66.2,4.986,0.009,0.009,0.208,0.006,0.006,34.22,4.23,397.0,72.1,-999,1,0,-999,0
12413,5515865,13.715,1,16,5678.8,114.5,108.8,4.233,0.044,0.044,0.975,0.076,0.072,24.62,2.76,43.2,5.1,-999,1,0,-999,0
12419,5516058,15.135,1,16,5676.9,101.9,98.8,4.462,0.035,0.045,0.949,0.055,0.066,21.98,3.19,142.9,13.4,-999,1,0,-999,0
12423,5516473,13.167,0,16,6008.5,118.9,117.4,3.919,0.043,0.047,1.325,0.132,0.085,19.01,1.44,106.7,6.5,-999,1,0,-999,0
12428,5516855,11.859,0,16,6766.3,148.2,148.6,4.197,0.029,0.028,1.344,0.065,0.05,14.09,1.76,77.2,4.6,-999,1,0,-999,0
12434,5517361,13.734,1,16,4761.7,81.7,77.1,4.614,0.018,0.024,0.719,0.027,0.034,33.99,5.62,722.7,22.7,-999,1,0,-999,0
12441,5520450,15.757,4,17,5377.6,107.4,96.6,4.418,0.056,0.052,0.873,0.065,0.054,17.84,1.9,1226.1,50.2,-999,1,0,-999,0
12448,5520966,14.953,1,17,5684.3,111.9,111.1,4.12,0.052,0.048,1.015,0.088,0.074,32.59,1.88,443.9,15.5,-999,1,0,-999,0
12454,5521451,14.367,1,17,5454.6,119.1,112.4,3.741,0.034,0.038,1.27,0.066,0.083,63.86,6.27,853.3,18.2,-999,1,0,-999,0
12466,5521952,13.787,1,17,5785.7,101.4,95.4,4.516,0.018,0.029,0.934,0.033,0.051,27.17,2.57,154.6,5.6,-999,1,0,-999,0
12486,5523471,13.845,1,17,5453.5,92.3,91.2,4.484,0.027,0.036,0.96,0.047,0.057,4.81,0.35,11194.6,660.6,1,1,0,-999,0
12489,5523658,15.403,1,17,5691.2,103.7,98.2,4.48,0.032,0.044,0.944,0.051,0.061,18.45,2.17,290.3,18.6,-999,1,0,-999,0
12501,5524705,15.974,4,17,5241.1,103.5,97.6,4.541,0.034,0.045,0.832,0.046,0.055,18.48,1.41,660.3,34.9,-999,1,0,-999,0
12504,5524901,13.024,1,17,5891.6,100.9,99.4,4.428,0.03,0.04,1.016,0.054,0.071,9.75,0.82,1301.9,56.9,-999,1,0,-999,0
12505,5524929,14.945,1,17,6067.9,111.9,109.8,4.376,0.036,0.046,1.084,0.06,0.074,9.91,0.79,409.8,16.7,-999,1,0,-999,0
12509,5525165,14.875,1,17,5436.0,102.6,98.7,4.501,0.064,0.103,0.844,0.055,0.05,22.6,2.62,2.1,6.4,-999,1,-999,-999,0
12510,5525418,16.935,6,6,4397.9,88.4,83.5,4.597,0.027,0.024,0.702,0.031,0.03,37.71,4.5,276.8,75.9,-999,1,0,-999,0
12515,5525754,14.373,1,17,5438.9,87.7,90.7,4.466,0.029,0.038,0.987,0.047,0.058,26.67,2.34,1669.4,45.7,-999,1,0,-999,0
12521,5526411,15.547,1,17,5459.5,102.7,101.9,4.49,0.039,0.05,0.892,0.053,0.063,16.08,1.68,1613.1,63.2,-999,1,0,-999,0
12528,5526717,14.279,1,17,5918.6,92.3,113.7,4.351,0.031,0.037,1.202,0.045,0.056,16.98,2.19,225.1,12.2,-999,1,-999,0,0
12529,5526772,15.185,1,17,4648.5,80.1,75.0,4.596,0.022,0.024,0.726,0.032,0.032,22.58,1.82,4510.4,129.1,-999,1,0,-999,0
12530,5527100,15.966,1,17,4592.7,84.7,79.7,4.626,0.022,0.025,0.688,0.033,0.032,39.59,5.25,1927.6,49.5,-999,1,0,-999,0
12533,5527289,15.979,1,17,3970.0,77.8,77.6,4.666,0.015,0.015,0.571,0.015,0.015,31.71,2.36,1570.4,47.3,-999,1,0,-999,0
12537,5528183,14.863,1,17,4951.7,90.1,82.5,4.541,0.032,0.03,0.791,0.044,0.041,30.21,2.46,3788.7,93.6,-999,1,0,-999,0
12542,5528867,14.945,1,17,4690.3,81.8,75.3,4.595,0.022,0.024,0.73,0.032,0.033,24.2,1.74,3152.6,88.4,-999,1,0,-999,0
12543,5528897,15.661,1,17,4719.1,88.8,82.6,4.625,0.019,0.024,0.699,0.03,0.032,20.78,1.61,1007.9,39.6,-999,1,0,-999,0
12558,5529672,15.26,1,17,5374.0,105.5,92.7,4.37,0.08,0.076,0.873,0.061,0.048,29.37,1.25,534.3,27.9,-999,1,0,-999,0
12561,5529842,13.41,0,17,5240.5,82.3,72.1,4.393,0.033,0.023,0.846,0.047,0.032,20.34,3.58,97.2,5.8,-999,1,0,-999,0
12562,5529894,14.733,1,17,5795.0,118.3,114.1,4.274,0.046,0.049,1.01,0.077,0.078,5.05,0.51,1789.5,114.1,-999,1,0,-999,0
12570,5530366,15.224,4,17,5650.3,106.1,102.4,4.447,0.047,0.058,0.942,0.061,0.066,13.71,1.27,1530.2,63.0,-999,1,0,-999,0
12577,5530683,13.981,1,17,5761.2,100.8,98.1,4.488,0.026,0.036,0.935,0.044,0.056,11.35,0.8,3493.6,138.0,-999,1,0,-999,0
12580,5530723,15.68,2,17,5781.9,110.4,106.5,4.37,0.057,0.061,0.99,0.071,0.075,16.39,2.04,741.7,36.3,-999,1,0,-999,0
12581,5530734,15.675,1,17,4615.1,98.6,94.5,4.593,0.035,0.038,0.721,0.042,0.043,19.39,1.55,4819.7,151.8,-999,1,-999,-999,0
12587,5531040,15.001,1,17,5762.1,115.0,110.7,4.345,0.055,0.056,0.986,0.075,0.075,22.89,3.56,39.1,7.9,-999,1,0,-999,0
12590,5531282,13.529,0,17,6160.2,114.7,112.9,3.872,0.031,0.053,1.481,0.069,0.155,12.38,1.14,35.3,5.4,-999,1,0,-999,0
12592,5531567,15.788,4,17,4272.3,81.9,68.3,4.623,0.025,0.026,0.663,0.03,0.025,27.99,2.22,2044.8,60.1,-999,1,0,-999,0
12597,5531826,15.899,1,17,5483.3,97.1,96.1,4.54,0.03,0.043,0.869,0.046,0.055,5.19,0.38,2951.6,192.6,-999,1,0,-999,0
12606,5534792,15.815,4,17,6092.5,121.4,119.1,4.313,0.062,0.067,1.112,0.073,0.08,3.69,0.26,6720.1,477.1,1,1,0,-999,0
12617,5535786,15.531,1,17,4564.8,88.9,84.5,4.552,0.027,0.023,0.747,0.027,0.025,16.76,1.52,2010.7,74.2,-999,1,1,-999,0
12627,5536388,15.147,1,17,4639.0,124.0,138.0,4.616,0.048,0.032,0.66,0.071,0.052,19.52,1.49,2368.4,76.7,-999,2,-999,-999,1
12628,5536585,13.371,0,17,6793.3,146.1,134.9,4.188,0.033,0.03,1.324,0.057,0.046,5.08,0.5,463.0,32.2,-999,1,0,-999,0
12637,5541919,14.346,1,17,4683.3,79.3,72.1,4.607,0.02,0.023,0.719,0.029,0.033,9.23,0.7,3890.2,174.3,-999,1,0,-999,0
12643,5542307,15.188,1,17,5873.4,119.6,119.1,4.102,0.052,0.062,1.115,0.104,0.089,20.79,2.01,47.9,10.1,-999,1,0,-999,0
12645,5542491,15.379,1,17,5384.6,109.1,90.6,4.315,0.045,0.041,0.878,0.058,0.042,7.05,0.49,5474.1,288.8,-999,1,0,-999,0
12648,5542732,14.929,1,17,5602.0,169.0,169.0,4.436,0.116,0.174,0.863,0.114,0.076,14.09,1.32,2081.6,87.4,-999,2,-999,-999,1
12660,5543652,15.393,1,17,3878.7,69.8,78.4,4.706,0.013,0.013,0.528,0.013,0.013,26.3,2.6,903.2,36.3,-999,1,0,-999,0
12661,5543693,15.594,1,17,4456.6,94.2,88.6,4.58,0.029,0.025,0.721,0.03,0.03,14.49,1.25,687.9,37.6,-999,1,1,-999,0
12665,5544060,14.669,1,17,6122.9,116.6,112.6,4.376,0.031,0.042,1.102,0.056,0.073,19.49,3.0,517.1,23.8,-999,1,0,-999,0
12666,5544173,14.264,1,17,5354.6,104.2,99.3,4.485,0.039,0.043,0.871,0.058,0.061,17.21,1.75,197.4,12.4,-999,1,0,-999,0
12668,5544246,13.693,1,17,6102.9,133.1,115.5,4.219,0.03,0.038,1.23,0.056,0.072,18.63,1.75,44.4,5.9,-999,1,0,-999,0
12669,5544326,15.923,1,17,4980.6,99.9,92.8,4.582,0.026,0.034,0.769,0.04,0.044,32.15,2.69,1118.5,41.0,-999,1,0,-999,0
12670,5544338,10.517,0,17,6357.8,125.9,121.0,3.703,0.079,0.077,1.776,0.139,0.145,4.8,0.58,164.2,11.3,-999,1,-999,-999,0
12694,5546165,14.401,1,17,5935.9,110.3,108.5,4.38,0.039,0.046,1.04,0.067,0.076,16.07,2.83,183.4,12.2,-999,1,0,-999,0
12706,5546828,15.219,4,17,5696.5,126.1,124.2,4.051,0.065,0.058,1.05,0.092,0.077,5.64,0.42,2778.1,169.6,-999,1,0,-999,0
12713,5547510,15.586,1,17,5299.2,111.2,98.6,4.441,0.051,0.047,0.856,0.062,0.05,27.47,2.05,1012.3,39.5,-999,1,0,-999,0
12723,5551492,14.873,1,17,5819.1,106.2,103.1,4.459,0.029,0.041,0.983,0.049,0.066,9.1,0.61,124.8,15.3,-999,1,0,-999,0
12726,5551634,13.483,0,17,5898.8,131.5,120.1,3.835,0.048,0.036,1.283,0.093,0.069,23.69,2.05,201.2,8.2,-999,1,0,-999,0
12727,5551679,15.181,1,17,5734.5,119.2,113.4,4.367,0.048,0.05,0.975,0.075,0.075,23.81,3.44,70.9,9.4,-999,1,0,-999,0
