,KIC,Kp,q_first,q_last,Teff,E_Teff,e_Teff,logg,E_logg,e_logg,mass,E_mass,e_mass,Prot,E_prot,Sph,E_Sph,Flag_Type1CPCB,Flag_MSSG,Flag_Binary,Flag_KOI,Flag_Source
2,891916,14.799,1,17,5650.8,131.9,137.7,4.132,0.224,0.254,1.008,0.164,0.112,5.45,0.42,3409.6,199.2,-999,1,-999,-999,0
5,892834,15.269,1,17,4823.2,90.4,82.2,4.587,0.023,0.028,0.751,0.034,0.039,13.61,1.02,2077.5,82.5,-999,1,0,-999,0
26,1027900,10.863,0,17,5772.2,108.1,103.0,4.332,0.041,0.042,0.99,0.075,0.074,18.76,3.44,167.0,5.9,-999,1,0,-999,0
27,1028018,12.646,0,17,5520.5,106.4,100.7,4.291,0.04,0.04,0.925,0.065,0.059,0.61,0.04,18836.8,3108.9,1,1,0,-999,0
28,1028640,13.369,0,17,6167.5,122.4,119.7,3.878,0.064,0.068,1.341,0.14,0.094,5.08,0.42,280.1,21.8,-999,1,0,-999,0
29,1160947,15.826,1,17,4890.1,107.5,103.7,4.619,0.02,0.026,0.719,0.032,0.036,24.54,1.8,3203.1,94.4,-999,1,0,-999,0
30,1161092,13.561,1,17,6340.5,158.2,157.6,4.175,0.034,0.037,1.245,0.057,0.067,24.0,1.93,197.5,8.2,-999,1,0,-999,0
32,1161402,12.35,0,17,6159.4,124.1,116.8,4.276,0.029,0.037,1.152,0.065,0.072,2.39,0.17,1261.6,54.9,1,1,0,-999,0
42,1163090,15.617,2,17,4815.4,89.2,81.7,4.576,0.027,0.03,0.757,0.037,0.038,15.64,1.21,3927.5,139.5,-999,1,0,-999,0
45,1163579,13.208,0,17,5721.5,111.7,105.5,4.215,0.042,0.041,0.968,0.074,0.066,5.37,0.4,3996.1,225.8,1,1,0,-999,0
48,1164102,15.274,1,17,4168.2,51.7,67.2,4.62,0.033,0.021,0.63,0.019,0.016,29.59,3.38,307.1,14.4,-999,1,0,-999,0
50,1164207,13.8,3,16,5860.0,117.9,111.3,3.361,0.163,0.163,1.844,0.253,0.24,1.13,0.1,43.5,21.2,-999,2,-999,-999,0
52,1164583,14.27,1,17,4584.0,124.0,124.0,4.615,0.042,0.032,0.684,0.067,0.055,46.75,5.5,1506.3,31.3,-999,2,-999,-999,1
72,1296491,14.907,4,17,5062.1,89.0,81.9,4.54,0.032,0.034,0.808,0.044,0.047,25.76,2.48,1363.9,40.4,-999,1,0,-999,0
78,1297347,14.561,1,17,5124.0,93.7,88.8,4.551,0.028,0.036,0.814,0.04,0.051,13.24,1.12,3395.0,126.2,-999,1,0,-999,0
81,1429893,13.779,1,17,4827.7,74.5,69.8,4.57,0.023,0.03,0.799,0.033,0.041,33.75,3.16,1069.1,26.3,-999,1,0,-999,0
85,1430239,10.522,0,17,6186.5,107.8,95.1,3.696,0.021,0.047,1.794,0.05,0.168,8.05,1.0,119.0,6.6,-999,1,0,-999,0
90,1430893,15.41,1,17,4070.5,71.9,76.8,4.634,0.018,0.016,0.606,0.014,0.014,16.88,1.21,2763.4,96.5,-999,1,0,-999,0
112,1433642,14.381,1,17,5193.0,91.6,86.2,4.477,0.039,0.038,0.879,0.056,0.052,12.61,0.93,2800.6,107.1,-999,1,0,-999,0
114,1433899,15.229,1,17,5441.9,123.5,112.5,4.421,0.05,0.045,0.85,0.065,0.052,11.14,0.8,2441.7,104.9,-999,1,0,-999,0
119,1434708,13.563,0,17,5379.7,84.3,87.0,4.53,0.017,0.026,0.936,0.031,0.041,19.66,1.96,1699.7,52.3,-999,1,0,-999,0
123,1435272,13.633,1,17,6339.5,127.6,128.1,4.11,0.031,0.03,1.384,0.06,0.058,5.68,0.52,172.0,15.6,-999,1,0,-999,0
126,1435987,14.68,3,16,4034.3,74.9,76.3,4.65,0.015,0.014,0.59,0.013,0.013,15.53,1.13,2624.0,103.5,-999,1,0,-999,0
130,1569897,14.393,1,17,5689.7,112.8,109.0,4.417,0.04,0.045,0.959,0.069,0.073,24.84,2.46,858.8,13.3,-999,1,0,-999,0
137,1570915,13.863,1,17,4397.9,70.7,69.3,4.619,0.017,0.015,0.642,0.017,0.014,12.18,0.97,2545.5,98.2,-999,1,0,-999,0
140,1571364,14.421,1,17,4521.0,76.5,74.8,4.627,0.02,0.017,0.654,0.024,0.019,20.35,1.56,2232.6,68.4,-999,1,0,-999,0
141,1572038,15.763,4,17,4946.1,97.9,93.4,4.606,0.022,0.029,0.739,0.035,0.04,11.21,0.75,1440.4,71.6,-999,1,0,-999,0
143,1572156,13.554,0,17,5981.6,104.1,113.9,4.33,0.028,0.035,1.2,0.053,0.064,11.18,0.67,346.4,17.6,-999,1,0,-999,0
149,1573013,13.96,1,17,6598.7,140.3,137.4,4.221,0.033,0.032,1.313,0.062,0.05,1.71,0.15,199.8,33.2,1,1,0,-999,0
155,1574944,15.0,1,17,4863.8,110.3,126.3,4.613,0.016,0.022,0.754,0.032,0.034,17.47,1.45,3630.3,118.8,-999,1,0,-999,0
156,1575206,13.444,0,17,6574.8,144.9,127.7,4.279,0.032,0.032,1.253,0.051,0.053,23.86,3.04,117.4,5.9,-999,1,0,-999,0
158,1575570,13.744,6,13,3592.6,75.8,67.2,4.775,0.01,0.01,0.435,0.011,0.011,49.76,3.38,1378.0,27.3,-999,3,0,-999,0
161,1576108,13.939,1,17,5727.6,102.3,96.4,4.49,0.024,0.036,0.949,0.043,0.06,22.24,2.27,795.2,25.3,-999,1,0,-999,0
165,1576796,13.192,0,17,5835.6,113.1,109.2,4.131,0.041,0.046,1.085,0.097,0.084,10.81,0.85,3886.4,154.8,-999,1,0,-999,0
170,1577315,15.304,1,17,5294.0,106.8,102.0,4.546,0.027,0.04,0.842,0.041,0.055,17.84,1.38,2349.8,80.6,-999,1,0,-999,0
176,1717999,15.585,2,17,4946.0,94.2,86.3,4.577,0.026,0.032,0.771,0.038,0.043,28.98,2.24,1448.0,43.4,-999,1,0,-999,0
177,1718071,15.708,1,17,4002.4,74.8,77.3,4.663,0.015,0.014,0.576,0.014,0.014,21.37,2.03,569.2,27.3,-999,1,0,-999,0
181,1718520,13.725,1,17,6093.2,142.1,118.2,4.14,0.026,0.041,1.278,0.053,0.079,5.56,0.4,3616.0,202.9,-999,1,0,-999,0
184,1718958,12.801,0,17,6283.5,101.5,102.7,4.467,0.014,0.019,1.039,0.024,0.032,9.35,0.7,1544.0,67.9,-999,1,-999,1,0
186,1719093,12.976,0,17,6943.7,152.4,141.2,4.151,0.033,0.033,1.5,0.082,0.071,1.81,0.21,210.9,28.2,1,2,0,-999,0
192,1720182,13.816,1,17,6101.8,101.4,104.5,4.398,0.016,0.022,1.166,0.034,0.046,12.34,0.9,251.3,13.9,-999,1,0,-999,0
194,1720670,15.728,2,17,4489.5,58.4,62.1,4.545,0.016,0.019,0.746,0.025,0.017,14.59,1.27,283.7,23.7,-999,1,1,-999,0
196,1721110,12.654,0,17,6347.1,126.2,128.3,3.987,0.033,0.033,1.514,0.064,0.074,4.84,0.49,336.1,23.8,-999,1,0,-999,0
206,1722735,15.477,1,17,6108.7,131.5,123.0,4.084,0.063,0.072,1.119,0.096,0.084,1.97,0.14,1806.5,196.2,-999,1,0,-999,0
207,1722816,13.25,0,17,6740.9,142.2,126.6,4.343,0.015,0.021,1.276,0.03,0.038,4.64,0.68,195.2,17.4,-999,1,0,-999,0
214,1723978,14.132,1,17,5903.7,111.8,102.6,4.512,0.017,0.027,0.948,0.032,0.047,8.56,0.66,4137.8,187.7,-999,1,0,-999,0
222,1724720,14.245,1,17,5549.0,89.3,89.1,4.571,0.016,0.025,0.853,0.025,0.033,22.74,2.58,642.5,21.6,-999,1,0,-999,0
230,1725415,14.513,1,17,6175.4,131.8,125.1,3.947,0.054,0.044,1.213,0.121,0.067,2.4,0.16,228.0,34.5,-999,1,0,-1,0
234,1726035,15.531,2,17,5461.2,103.3,101.6,4.508,0.034,0.047,0.888,0.048,0.06,21.81,2.08,829.9,32.7,-999,1,0,-999,0
236,1726425,13.508,0,17,5532.0,133.3,124.1,3.801,0.023,0.021,1.38,0.029,0.031,47.34,4.31,897.0,9.4,-999,1,0,-999,0
243,1849471,13.012,0,17,6668.9,141.0,144.8,4.204,0.031,0.031,1.355,0.071,0.06,4.95,0.87,124.5,12.2,-999,1,0,-999,0
248,1849590,14.555,1,17,4140.6,47.0,71.7,4.631,0.034,0.019,0.615,0.015,0.015,16.08,1.17,2748.4,93.9,-999,1,0,-999,0
249,1849610,15.229,4,17,5572.9,118.7,113.7,4.325,0.055,0.053,0.926,0.072,0.066,24.54,2.12,643.1,24.3,-999,1,0,-999,0
259,1865136,11.883,0,17,6724.4,143.9,133.4,4.037,0.031,0.031,1.526,0.074,0.072,14.42,3.19,103.9,5.2,-999,1,0,-999,0
260,1865152,14.947,1,17,5878.0,140.0,175.0,4.512,0.04,0.16,1.058,0.101,0.151,7.67,0.74,195.8,20.4,-999,2,-999,-999,1
265,1865477,15.29,1,17,5066.4,102.9,96.3,4.573,0.025,0.034,0.79,0.038,0.048,35.43,2.91,2461.3,59.5,-999,1,0,-999,0
267,1865590,13.002,0,17,6442.7,136.8,128.6,4.299,0.026,0.036,1.253,0.054,0.069,5.8,0.39,33.6,6.4,-999,1,0,-999,0
276,1866732,13.532,0,17,6450.9,152.0,131.7,4.142,0.034,0.037,1.224,0.05,0.075,10.33,0.38,74.9,7.5,-999,1,0,-999,0
278,1866924,14.295,1,17,4278.7,67.1,55.8,4.615,0.02,0.017,0.674,0.025,0.018,27.04,2.14,2540.6,66.6,-999,1,0,-999,0
282,1867358,15.973,1,17,3897.3,80.6,78.0,4.658,0.015,0.015,0.574,0.015,0.014,31.27,2.94,297.8,18.5,-999,1,0,-999,0
285,1867645,15.16,1,17,4867.7,95.7,89.5,4.603,0.021,0.027,0.738,0.033,0.038,11.77,0.8,2756.3,113.3,-999,1,0,-999,0
286,1867702,12.766,0,17,6018.2,121.3,114.8,4.224,0.04,0.042,1.077,0.075,0.076,20.91,3.52,76.8,4.3,-999,1,0,-999,0
288,1867921,13.442,0,17,5842.1,128.6,104.6,4.194,0.034,0.036,1.188,0.055,0.08,11.68,1.5,236.6,6.5,-999,1,0,-999,0
298,1869183,12.503,1,17,6933.5,150.8,147.5,4.076,0.031,0.034,1.631,0.073,0.078,20.36,1.32,309.0,10.7,-999,2,0,-999,0
299,1869231,15.519,2,17,5819.2,124.2,124.3,4.52,0.037,0.049,0.854,0.043,0.049,9.17,0.67,3337.1,156.2,-999,1,0,-999,0
302,1869510,13.391,0,17,6251.2,301.7,338.4,4.122,0.05,0.064,1.265,0.131,0.167,7.84,1.69,95.5,9.2,-999,1,-999,-999,0
306,1870028,13.945,1,17,6003.1,195.0,180.7,4.147,0.206,0.299,1.252,0.332,0.152,24.0,1.45,645.0,10.2,-999,1,-999,-999,0
309,1870957,14.148,1,17,5986.4,108.8,113.3,4.127,0.035,0.047,1.167,0.072,0.099,6.53,0.46,1836.0,99.6,-999,1,0,-999,0
311,1871091,15.201,4,17,5233.5,107.9,106.1,4.355,0.076,0.065,0.854,0.043,0.034,18.47,1.59,1670.5,58.4,-999,1,0,-999,0
313,1871176,13.891,1,17,6299.4,127.0,123.6,3.983,0.034,0.035,1.414,0.068,0.075,1.77,0.12,1810.6,187.3,1,1,0,-999,0
318,1872012,13.699,1,17,6536.2,126.1,118.4,4.35,0.018,0.027,1.232,0.035,0.049,6.01,0.43,70.8,10.7,-999,1,0,-999,0
319,1872084,12.927,0,17,5346.2,94.1,80.8,4.341,0.037,0.031,0.888,0.055,0.043,26.83,3.1,632.8,17.7,-999,1,0,-999,0
322,1872349,15.005,1,17,5161.3,97.9,87.9,4.494,0.04,0.036,0.83,0.054,0.047,25.05,2.5,1183.8,36.8,-999,1,0,-999,0
327,1872802,15.914,2,17,5378.5,117.8,103.2,4.397,0.059,0.054,0.873,0.065,0.051,17.0,1.45,2184.3,82.9,-999,1,0,-999,0
328,1872885,15.61,2,17,3936.7,38.1,46.2,4.606,0.007,0.01,0.622,0.009,0.006,1.85,0.13,14371.1,1388.4,1,1,0,-999,0
329,1872974,14.524,1,17,5979.0,162.0,180.0,4.414,0.105,0.195,0.952,0.131,0.105,8.86,0.63,5507.4,244.8,-999,2,-999,-999,1
343,1995080,14.742,1,17,5672.8,112.4,109.2,4.37,0.05,0.051,0.954,0.074,0.072,21.65,0.86,226.8,12.2,-999,1,0,-999,0
346,1995155,15.362,1,17,5576.2,101.8,96.3,4.555,0.023,0.032,0.866,0.039,0.046,20.92,2.1,1568.7,52.9,-999,1,0,-999,0
347,1995195,13.914,2,16,6324.4,125.4,118.4,3.958,0.036,0.041,1.406,0.067,0.105,7.39,0.64,102.7,11.7,-999,1,0,-999,0
349,1995351,12.972,0,17,5898.5,116.3,107.6,4.206,0.039,0.045,1.081,0.076,0.084,3.26,0.25,4181.7,302.2,1,1,0,-999,0
359,1996180,13.925,1,17,6104.5,113.4,111.1,4.351,0.034,0.04,1.118,0.06,0.069,6.88,0.98,148.6,14.0,-999,1,0,0,0
363,1996574,15.516,1,17,4334.6,74.9,69.4,4.621,0.02,0.02,0.674,0.026,0.023,20.22,1.98,537.1,25.6,-999,1,0,-999,0
368,1996760,13.529,1,17,6179.1,114.3,110.6,4.373,0.027,0.039,1.122,0.052,0.072,13.08,1.89,331.7,15.7,-999,1,0,-999,0
383,2011878,15.853,2,17,4975.8,98.6,91.5,4.576,0.027,0.035,0.774,0.04,0.045,13.33,1.04,1230.3,59.4,-999,1,0,-999,0
394,2012724,12.724,0,17,6129.1,135.5,111.7,4.145,0.028,0.035,1.242,0.057,0.078,10.3,0.88,1258.3,53.2,-999,1,0,-999,0
395,2012731,15.976,4,17,3850.7,78.5,79.4,4.66,0.014,0.014,0.57,0.013,0.014,35.93,3.14,2521.3,64.7,-999,1,0,-999,0
406,2013883,11.215,0,17,6620.2,170.0,135.3,3.803,0.033,0.032,1.676,0.089,0.079,26.84,4.15,125.6,4.0,-999,1,0,-1,0
407,2014003,11.823,0,17,6569.7,136.1,128.8,3.959,0.032,0.034,1.546,0.076,0.079,4.32,0.64,206.3,7.9,-999,1,0,-999,0
410,2014203,15.546,1,17,4753.0,31.1,43.8,4.479,0.014,0.013,0.799,0.012,0.012,10.75,0.85,4073.5,173.2,-999,1,1,-999,0
414,2015302,15.397,1,17,4813.9,108.1,111.3,4.609,0.019,0.026,0.738,0.033,0.037,28.38,1.99,3186.8,84.5,-999,1,0,-999,0
423,2016599,15.074,1,17,4921.1,87.5,81.2,4.506,0.032,0.022,0.794,0.041,0.029,15.21,1.24,2095.2,77.5,-999,1,1,-999,0
429,2017659,15.474,1,17,5163.8,124.4,128.1,4.445,0.079,0.093,0.835,0.048,0.045,19.25,1.66,1539.4,55.1,-999,1,-999,-999,0
436,2018701,13.795,1,17,6003.2,97.2,92.9,4.465,0.014,0.018,1.06,0.028,0.033,11.53,0.9,2484.3,98.4,-999,1,0,-999,0
446,2019828,13.622,1,17,6403.2,145.5,124.1,4.121,0.032,0.036,1.238,0.05,0.075,20.9,1.83,177.8,8.3,-999,1,0,-999,0
448,2019893,12.424,0,17,6773.6,144.4,149.5,4.172,0.032,0.031,1.397,0.076,0.065,6.61,0.57,748.0,20.2,-999,1,0,-999,0
451,2020086,13.536,0,17,5813.3,104.5,103.5,4.427,0.034,0.04,0.986,0.058,0.067,47.42,9.19,685.0,14.8,-999,1,0,-999,0
452,2020185,15.125,1,17,4453.6,74.9,70.4,4.597,0.023,0.019,0.707,0.029,0.025,21.21,1.64,3493.0,104.6,-999,1,0,-999,0
455,2020703,15.049,4,17,5703.3,109.1,105.7,4.456,0.035,0.046,0.957,0.056,0.068,24.54,2.64,651.5,23.6,-999,1,0,-999,0
457,2021157,14.601,1,17,5009.0,85.3,80.1,4.56,0.027,0.033,0.792,0.04,0.046,9.69,0.74,3060.2,133.9,-999,1,0,-999,0
463,2140621,15.53,2,3,4820.4,100.2,86.2,4.574,0.027,0.029,0.759,0.039,0.039,34.22,3.18,1466.4,67.7,-999,1,0,-999,0
465,2140862,14.743,1,17,5372.8,92.5,88.0,4.577,0.02,0.031,0.821,0.033,0.046,23.5,2.6,256.3,12.5,-999,1,0,-999,0
466,2140897,15.045,1,17,5629.2,101.8,97.4,4.506,0.027,0.04,0.92,0.045,0.057,21.21,2.34,1273.5,42.6,-999,1,0,-999,0
467,2140909,15.411,1,17,4215.6,69.0,39.4,4.637,0.021,0.037,0.641,0.019,0.015,37.98,4.77,1461.7,37.3,-999,1,0,-999,0
481,2142183,13.642,1,17,4891.6,56.6,57.6,3.995,0.037,0.024,0.901,0.012,0.011,3.55,0.25,17647.1,1206.1,1,3,-999,-999,0
482,2142372,15.542,1,17,3874.5,78.3,75.4,4.692,0.013,0.013,0.541,0.013,0.013,18.47,1.5,1233.2,47.7,-999,1,0,-999,0
490,2154965,15.131,4,17,5574.4,107.3,106.3,4.474,0.035,0.047,0.922,0.054,0.066,10.76,0.84,3443.9,145.1,-999,1,0,-999,0
499,2156537,15.008,4,17,5909.5,118.2,108.3,4.163,0.048,0.052,1.106,0.084,0.088,22.25,1.61,247.8,13.7,-999,1,0,-999,0
501,2156685,15.603,4,17,5367.5,102.3,98.7,4.577,0.023,0.034,0.817,0.039,0.048,10.25,0.71,2651.1,121.3,-999,1,0,-999,0
509,2157184,13.795,1,17,4481.1,72.2,70.5,4.598,0.022,0.019,0.708,0.029,0.025,27.61,2.5,2297.7,59.1,-999,1,0,-999,0
518,2158067,13.018,0,17,6147.4,141.8,126.8,4.313,0.084,0.105,1.151,0.098,0.087,13.15,1.05,323.7,14.5,-999,1,-999,-999,0
520,2158548,12.966,0,17,6000.4,130.8,131.6,4.486,0.014,0.019,1.012,0.026,0.038,2.88,0.2,13192.1,1000.9,1,1,0,-999,0
528,2159257,14.373,1,17,5362.9,116.6,101.1,4.212,0.181,0.182,0.89,0.077,0.054,31.49,2.25,714.9,20.3,-999,1,-999,-999,0
535,2160919,14.259,1,17,6498.4,127.9,127.4,4.29,0.031,0.038,1.27,0.053,0.063,3.26,0.3,201.0,25.9,-999,1,0,-999,0
550,2163634,14.53,1,17,4646.0,56.1,53.3,4.518,0.015,0.011,0.771,0.018,0.014,29.59,2.27,1074.0,29.8,-999,1,1,-999,0
554,2164105,14.391,1,17,6179.9,119.3,114.6,4.351,0.032,0.041,1.132,0.059,0.075,9.7,1.04,218.8,16.3,-999,1,0,-999,0
555,2164117,12.721,0,17,6180.9,124.2,117.1,4.04,0.031,0.047,1.263,0.058,0.11,14.79,1.33,82.8,5.3,-999,1,0,-999,0
557,2164213,15.11,4,17,5970.4,122.3,117.0,4.293,0.053,0.053,1.074,0.075,0.08,6.62,0.52,317.8,29.4,-999,1,0,-999,0
558,2164227,15.308,4,17,5753.9,127.2,121.0,3.885,0.056,0.052,1.186,0.08,0.082,6.61,0.47,677.4,49.2,-999,1,0,-999,0
560,2164598,14.544,1,17,5459.6,97.4,94.4,4.56,0.019,0.033,0.855,0.033,0.049,30.63,4.72,1022.7,29.5,-999,1,0,-999,0
567,2165357,15.499,4,17,5309.7,111.3,99.5,4.452,0.048,0.045,0.859,0.062,0.053,9.76,0.79,1113.8,60.2,-999,1,0,-999,0
570,2165874,14.825,1,17,5362.0,130.1,129.5,3.65,0.112,0.115,1.495,0.2,0.18,29.38,3.41,215.4,10.5,-999,1,0,-999,0
571,2165942,15.663,1,17,5534.3,105.5,99.1,4.552,0.024,0.034,0.865,0.04,0.049,27.04,2.59,1148.4,44.4,-999,1,0,-999,0
574,2166322,15.671,2,17,5907.9,122.3,115.0,4.23,0.064,0.064,1.072,0.081,0.084,1.48,0.1,2035.4,256.0,-999,1,0,-999,0
579,2166773,14.626,1,17,5821.2,129.2,125.3,3.949,0.057,0.045,1.17,0.106,0.071,8.55,0.49,191.3,17.2,-999,1,0,-999,0
581,2167039,14.15,1,17,5996.8,122.8,116.2,4.293,0.042,0.044,1.084,0.075,0.079,16.05,0.94,202.8,5.7,-999,1,0,-999,0
585,2167334,13.867,1,17,6437.5,132.1,125.3,4.138,0.035,0.034,1.388,0.065,0.057,4.42,0.55,209.4,10.4,-999,1,0,-999,0
587,2167693,15.572,1,17,3913.5,78.2,75.7,4.679,0.013,0.014,0.557,0.013,0.013,17.35,1.24,1012.8,42.7,-999,1,0,-999,0
595,2282712,15.568,4,17,3452.0,44.0,44.0,4.923,0.048,0.032,0.332,0.041,0.041,19.79,1.5,2895.4,94.0,-999,2,-999,-999,1
600,2283166,13.998,1,17,6281.6,121.5,120.6,4.284,0.034,0.045,1.199,0.067,0.076,4.21,0.37,378.8,32.6,-999,1,0,-999,0
612,2284620,14.819,1,17,6293.6,127.7,128.2,4.125,0.044,0.047,1.286,0.062,0.077,4.03,0.54,146.5,23.9,-999,1,0,-999,0
615,2284829,14.889,1,17,5425.4,96.4,93.2,4.553,0.022,0.036,0.856,0.037,0.053,9.49,0.74,2830.5,127.3,-999,1,0,-999,0
628,2297232,13.884,1,17,5706.0,77.0,77.0,4.525,0.014,0.126,1.048,0.042,0.063,22.09,1.79,714.4,23.1,-999,2,-999,-999,1
630,2297426,13.033,0,17,6188.9,119.0,118.5,4.409,0.033,0.039,1.003,0.055,0.063,25.58,3.11,136.1,5.7,-999,1,0,-999,0
632,2297729,16.319,1,17,4673.8,99.3,99.6,2.955,0.272,0.287,1.01,0.276,0.134,7.55,0.54,14207.6,692.6,-999,2,-999,-999,0
636,2298305,14.788,1,17,5566.8,115.5,111.2,4.277,0.046,0.046,0.928,0.071,0.065,15.19,1.11,4628.9,159.2,-999,1,0,-999,0
639,2299540,15.219,1,17,4906.7,93.1,86.4,4.588,0.023,0.029,0.759,0.034,0.042,25.4,2.49,548.4,21.4,-999,1,0,-999,0
643,2299892,15.648,1,17,3907.1,70.8,80.1,4.7,0.013,0.013,0.536,0.013,0.013,21.38,1.73,355.2,25.2,-999,1,0,-999,0
644,2300039,15.427,1,17,3829.7,83.1,82.1,4.678,0.01,0.011,0.552,0.011,0.01,1.69,0.11,2040.3,234.5,-999,1,0,-999,0
646,2300096,14.982,1,17,4935.9,92.2,83.3,4.576,0.024,0.03,0.773,0.036,0.044,37.45,1.73,999.9,26.2,-999,1,0,-999,0
647,2300167,14.969,1,17,6140.7,129.6,111.6,4.158,0.052,0.047,1.209,0.067,0.09,5.03,0.33,151.8,22.9,-999,1,0,-999,0
648,2300203,14.359,1,17,6555.8,128.0,142.2,4.099,0.035,0.037,1.35,0.063,0.055,4.24,0.53,288.6,28.8,-999,1,0,-999,0
658,2301367,14.491,1,17,5852.7,115.8,114.2,4.211,0.041,0.044,1.067,0.076,0.078,20.64,1.72,521.1,20.0,-999,1,0,-999,0
663,2301910,14.091,10,10,6369.0,176.0,242.0,4.319,0.124,0.186,1.043,0.184,0.123,7.21,0.48,51.9,9.6,-999,2,-999,-999,1
667,2302505,12.329,0,17,6193.5,122.6,120.1,4.264,0.038,0.04,1.022,0.071,0.069,6.98,1.1,74.0,6.6,1,1,0,-999,0
672,2302851,13.102,0,17,4203.2,63.4,48.4,4.614,0.028,0.024,0.646,0.024,0.018,12.18,0.84,3499.8,131.6,-999,1,-999,-999,0
673,2302901,14.206,1,17,6539.6,124.1,130.2,4.311,0.025,0.036,1.268,0.046,0.056,3.55,0.3,813.9,66.1,-999,1,0,-999,0
683,2303936,14.456,1,17,5662.1,110.6,105.3,4.246,0.045,0.046,0.966,0.074,0.071,4.21,0.3,5216.0,336.4,-999,1,0,-999,0
685,2304140,15.286,1,17,4437.1,77.0,74.0,4.637,0.017,0.02,0.665,0.024,0.024,17.11,1.34,2841.7,97.3,-999,1,0,-999,0
694,2305283,15.871,4,17,3674.9,79.2,66.7,4.746,0.011,0.011,0.472,0.012,0.012,41.27,4.94,671.3,22.8,-999,1,0,-999,0
696,2305311,14.962,1,16,5037.3,202.8,376.5,4.38,0.171,0.396,0.832,0.071,0.097,27.99,2.11,2425.7,77.4,-999,1,-999,-1,0
711,2307197,15.664,1,17,5608.3,128.5,122.3,4.333,0.118,0.133,0.941,0.08,0.073,10.3,0.74,1154.4,62.0,-999,1,-999,-999,0
715,2307701,15.684,2,17,5531.0,120.6,114.2,4.228,0.061,0.06,0.925,0.071,0.063,27.19,3.05,329.8,18.1,-999,1,0,-999,0
723,2308613,14.028,1,17,6387.5,126.0,121.3,3.935,0.036,0.041,1.461,0.076,0.101,4.79,0.76,176.1,18.8,-999,1,0,-999,0
724,2308681,12.402,0,17,5826.7,107.3,104.9,4.359,0.043,0.046,1.007,0.074,0.077,23.66,2.16,103.3,4.4,-999,1,0,-999,0
727,2309030,12.95,0,17,5325.3,94.5,81.6,4.241,0.034,0.03,0.915,0.05,0.04,6.71,0.47,5612.5,281.1,-999,1,0,-999,0
729,2309152,15.903,4,17,4039.4,71.4,76.6,4.665,0.017,0.016,0.576,0.015,0.015,28.97,3.12,181.1,15.8,-999,1,0,-999,0
733,2309478,14.498,1,17,5392.3,93.8,91.8,4.572,0.024,0.035,0.805,0.033,0.044,18.47,1.53,2321.6,74.7,-999,1,0,-999,0
736,2309690,12.211,0,17,5873.0,109.8,106.0,4.28,0.038,0.04,1.031,0.072,0.07,19.89,3.55,73.9,3.8,-999,1,0,-999,0
743,2310233,13.246,0,17,6543.0,71.0,77.0,4.147,0.162,0.108,1.161,0.118,0.075,5.67,0.22,43.9,7.6,-999,2,-999,-999,1
753,2311218,12.159,0,17,6813.6,144.0,136.5,4.215,0.029,0.03,1.405,0.067,0.06,2.12,0.18,245.9,26.7,1,1,0,-999,0
754,2311350,13.841,1,17,4962.3,80.6,77.2,4.569,0.025,0.031,0.785,0.036,0.044,9.11,0.66,3008.4,133.1,-999,1,0,-999,0
761,2422296,14.167,1,17,5245.1,112.8,109.6,3.985,0.091,0.081,0.835,0.04,0.032,19.12,1.52,2844.7,87.8,-999,1,-999,-999,0
763,2422406,15.331,1,3,5720.6,110.8,105.9,4.354,0.056,0.056,0.971,0.074,0.073,19.49,2.93,583.9,26.1,-999,1,0,-999,0
768,2422920,15.584,2,17,4934.8,88.5,82.5,4.522,0.038,0.031,0.792,0.043,0.035,46.43,7.2,1018.0,26.2,-999,1,0,-999,0
769,2423052,15.044,1,17,4744.3,83.7,77.1,4.587,0.026,0.021,0.709,0.034,0.028,30.84,4.05,1003.9,29.2,-999,1,0,-999,0
772,2423316,13.153,0,17,6079.8,111.9,110.6,4.198,0.034,0.043,1.165,0.065,0.089,5.13,0.59,651.7,42.1,-999,1,0,-999,0
787,2424793,13.934,1,17,5150.9,93.5,83.5,4.469,0.041,0.032,0.828,0.053,0.04,17.35,1.34,4776.1,150.9,-999,1,0,-999,0
789,2425184,15.586,1,17,5302.1,105.7,98.9,4.526,0.034,0.045,0.851,0.047,0.057,18.6,1.54,3921.9,127.5,-999,1,0,-999,0
792,2425386,15.361,1,17,5495.6,102.5,101.4,4.478,0.04,0.051,0.902,0.056,0.064,23.54,2.12,1679.3,52.8,-999,1,0,-999,0
794,2425504,15.994,2,17,5502.8,122.3,116.8,3.997,0.084,0.077,1.004,0.081,0.078,3.72,0.26,6229.3,447.5,1,1,0,-999,0
805,2437849,16.789,6,9,5448.0,202.0,168.0,3.771,0.672,0.168,1.349,0.18,0.421,10.91,0.8,4053.9,196.8,-999,2,-999,-999,1
812,2438513,13.982,1,17,5850.1,91.3,89.5,4.518,0.013,0.02,0.963,0.025,0.033,13.13,1.07,3155.6,116.4,-999,1,0,1,0
814,2438588,15.158,1,17,4927.4,87.0,80.2,4.57,0.026,0.031,0.776,0.037,0.043,20.09,2.47,241.7,15.0,-999,1,0,-999,0
824,2439798,11.651,0,17,6234.7,195.4,175.6,4.256,0.027,0.029,1.294,0.069,0.074,9.03,0.75,93.8,6.0,-999,1,0,-999,0
