TIC_ID,Sector,p_r
4.400509710000000000e+08,1.700000000000000000e+01,7.786769999999999525e-01
5.796376500000000000e+07,1.700000000000000000e+01,8.224230000000000151e-01
4.377554460000000000e+08,1.700000000000000000e+01,6.388179999999999970e-01
3.526439620000000000e+08,1.600000000000000000e+01,1.442590000000000039e+00
3.526439620000000000e+08,1.700000000000000000e+01,1.442590000000000039e+00
4.358635620000000000e+08,1.700000000000000000e+01,9.609010000000000051e-01
2.676882670000000000e+08,1.700000000000000000e+01,2.953340000000000032e+01
2.427013430000000000e+08,1.700000000000000000e+01,9.601539999999999964e+00
2.576255900000000000e+07,1.700000000000000000e+01,2.012069999999999936e+01
4.115344140000000000e+08,1.700000000000000000e+01,1.048689999999999900e+00
2.427026630000000000e+08,1.700000000000000000e+01,5.080470000000000264e-01
2.575654200000000000e+07,1.700000000000000000e+01,8.692629999999999413e+00
4.358570080000000000e+08,1.700000000000000000e+01,8.844860000000000610e+00
4.406800170000000000e+08,1.700000000000000000e+01,2.048049999999999926e+00
1.252837760000000000e+08,1.700000000000000000e+01,1.182509999999999950e+00
2.575685400000000000e+07,1.700000000000000000e+01,9.429600000000000204e-01
2.678704870000000000e+08,1.700000000000000000e+01,3.896959999999999980e+00
4.358675280000000000e+08,1.700000000000000000e+01,1.084729999999999972e+00
4.358587250000000000e+08,1.700000000000000000e+01,2.790180000000000149e+01
3.963833540000000000e+08,1.700000000000000000e+01,1.018229999999999968e+01
4.377342000000000000e+08,1.700000000000000000e+01,1.248269999999999991e+00
2.579816100000000000e+07,1.700000000000000000e+01,2.139949999999999974e+01
8.394004700000000000e+07,1.700000000000000000e+01,7.067590000000000261e-01
2.580217800000000000e+07,1.700000000000000000e+01,1.065280000000000005e+00
3.521037020000000000e+08,1.700000000000000000e+01,2.576660000000000039e+01
4.557615250000000000e+08,1.700000000000000000e+01,1.323499999999999899e+00
4.406650850000000000e+08,1.700000000000000000e+01,6.001069999999999460e-01
4.358780660000000000e+08,1.700000000000000000e+01,5.738550000000000040e-01
4.358665130000000000e+08,1.700000000000000000e+01,8.913689999999999669e-01
4.377344780000000000e+08,1.700000000000000000e+01,2.953340000000000032e+01
4.406654680000000000e+08,1.700000000000000000e+01,4.119460000000000122e+00
4.342213640000000000e+08,1.700000000000000000e+01,2.790180000000000149e+01
3.545375730000000000e+08,1.700000000000000000e+01,1.275350000000000072e+01
4.557273900000000000e+08,1.700000000000000000e+01,2.758319999999999883e+00
1.252835710000000000e+08,1.700000000000000000e+01,4.549589999999999890e+01
1.156581990000000000e+08,1.700000000000000000e+01,5.366589999999999971e-01
2.575604900000000000e+07,1.700000000000000000e+01,9.509499999999999620e-01
3.521077180000000000e+08,1.700000000000000000e+01,1.650440000000000040e+01
4.452141600000000000e+07,1.700000000000000000e+01,5.088150000000000173e-01
4.358782780000000000e+08,1.700000000000000000e+01,1.054159999999999986e+00
4.448879000000000000e+07,1.700000000000000000e+01,1.221109999999999918e+00
1.382452400000000000e+07,1.700000000000000000e+01,1.214029999999999987e+01
4.365434550000000000e+08,1.700000000000000000e+01,1.145209999999999972e+01
4.406612650000000000e+08,1.700000000000000000e+01,2.953340000000000032e+01
4.365455170000000000e+08,1.700000000000000000e+01,1.075490000000000057e+00
4.365528490000000000e+08,1.700000000000000000e+01,1.083560000000000079e+00
8.047016100000000000e+07,1.700000000000000000e+01,2.781099999999999905e+00
1.552598440000000000e+08,1.700000000000000000e+01,4.485310000000000130e+00
4.115156460000000000e+08,1.700000000000000000e+01,6.437040000000000539e-01
4.115265590000000000e+08,1.700000000000000000e+01,1.259160000000000057e+00
5.801740400000000000e+07,1.700000000000000000e+01,1.398990000000000045e+01
